"","NETWORTH","WGT","Black","White","RACE","Forbes_indicator"
"238881",2153600,6119.7793077,0,1,"White",0
"238882",2116200,4712.3749124,0,1,"White",0
"238883",2145000,5145.2244552,0,1,"White",0
"238884",2552500,5297.663412,0,1,"White",0
"238885",2176200,4761.8123711,0,1,"White",0
"238886",-6710,3790.4766068,0,1,"White",0
"238887",-4710,3798.8685047,0,1,"White",0
"238888",-8115,3799.4683931,0,1,"White",0
"238889",-2510,3788.0760048,0,1,"White",0
"238890",-5715,3793.0665887,0,1,"White",0
"238891",33900,4099.4785528,0,1,"White",0
"238892",36300,4101.450751,0,1,"White",0
"238893",33400,4098.5626583,0,1,"White",0
"238894",33500,4085.9455215,0,1,"White",0
"238895",44300,4097.633642,0,1,"White",0
"238896",-116660,6375.9837916,0,1,"White",0
"238897",-116655,6326.5697948,0,1,"White",0
"238898",-117655,6341.5884536,0,1,"White",0
"238899",-117665,6386.3758634,0,1,"White",0
"238900",-116665,6354.9195043,0,1,"White",0
"238901",1590,4210.2307656,0,1,"White",0
"238902",1890,4177.2038589,0,1,"White",0
"238903",1690,4246.4318979,0,1,"White",0
"238904",1990,4226.5568086,0,1,"White",0
"238905",2390,4185.6728788,0,1,"White",0
"238906",-12480,5046.9751648,0,1,"White",0
"238907",-12310,5058.6369297,0,1,"White",0
"238908",-12440,5050.5076398,0,1,"White",0
"238909",-12220,5049.8964595,0,1,"White",0
"238910",-12340,5058.5391101,0,1,"White",0
"238911",280,8610.8775961,0,1,"White",0
"238912",280,8629.9415854,0,1,"White",0
"238913",290,8631.3043599,0,1,"White",0
"238914",290,8605.4241156,0,1,"White",0
"238915",280,8616.7612933,0,1,"White",0
"238916",510243800,35.406794387,0,1,"White",0
"238917",462373480,35.171352972,0,1,"White",0
"238918",784241870,35.078666373,0,1,"White",0
"238919",526520190,34.894297073,0,1,"White",0
"238920",540771980,35.063936823,0,1,"White",0
"238921",1211300,3959.9022318,0,1,"White",0
"238922",1211300,4184.7555904,0,1,"White",0
"238923",1210300,4144.5091124,0,1,"White",0
"238924",1211300,4103.4060234,0,1,"White",0
"238925",1212300,4199.7785158,0,1,"White",0
"238926",523500,4575.8881816,0,1,"White",0
"238927",454200,6573.3896173,0,1,"White",0
"238928",501700,6638.1299419,0,1,"White",0
"238929",692100,4743.5432572,0,1,"White",0
"238930",500100,6608.8902054,0,1,"White",0
"238931",-7010,4322.6065656,0,1,"White",0
"238932",-7000,4299.4070208,0,1,"White",0
"238933",-7000,4324.9048002,0,1,"White",0
"238934",-7010,4305.9557231,0,1,"White",0
"238935",-7000,4301.939313,0,1,"White",0
"238936",303300,7264.7708734,0,1,"White",0
"238937",304300,7295.6892063,0,1,"White",0
"238938",305300,7376.1752197,0,1,"White",0
"238939",303300,7358.8706154,0,1,"White",0
"238940",302300,7359.7782761,0,1,"White",0
"238941",-13840,8068.1746133,0,1,"White",0
"238942",-17350,7991.8076521,0,1,"White",0
"238943",-16440,8116.0455915,0,1,"White",0
"238944",-16940,8121.4410088,0,1,"White",0
"238945",-17290,8023.3444552,0,1,"White",0
"238946",11742000,300.76564449,0,1,"White",0
"238947",11742000,301.39245791,0,1,"White",0
"238948",11743000,286.67085734,0,1,"White",0
"238949",11742000,299.21763008,0,1,"White",0
"238950",11742000,298.36700608,0,1,"White",0
"238951",845000,744.78417968,0,1,"White",0
