"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"1",0.01,1989,-16150.29984,-11789.2063401854,-16150.29984,-11789.2063401854
"2",0.02,1989,-9566.864808,-4820.5684530927,-9566.864808,-4820.5684530927
"3",0.03,1989,-6861.88848,-1638.2433600927,-6861.88848,-1638.2433600927
"4",0.04,1989,-3759.121515,987.174839907304,-3759.121515,987.174839907304
"5",0.05,1989,-1690.610205,2180.5467499073,-1690.610205,2180.5467499073
"6",0.06,1989,-994.4765913,2180.5467499073,-994.4765913,2180.5467499073
"7",0.07,1989,-238.6743819,2180.5467499073,-238.6743819,2180.5467499073
"8",0.08,1989,0,2777.2327046673,0,2777.2327046673
"9",0.09,1989,0,3373.9186594073,0,3373.9186594073
"10",0.1,1989,0,4169.4999324073,0,4169.4999324073
"11",0.11,1989,0,4361.09349981461,0,4361.09349981461
"12",0.12,1989,99.447659127,4758.88413632461,99.447659127,4758.88413632461
"13",0.13,1989,397.79063651,5502.0985647073,397.79063651,5502.0985647073
"14",0.14,1989,795.58127301,6158.4531150073,795.58127301,6158.4531150073
"15",0.15,1989,1193.3719095,6541.64024972191,1193.3719095,6541.64024972191
"16",0.16,1989,1988.9531825,6794.9181334073,1988.9531825,6794.9181334073
"17",0.17,1989,2287.2961599,7727.71040832922,2287.2961599,7727.71040832922
"18",0.18,1989,2983.4297738,8530.59343222191,2983.4297738,8530.59343222191
"19",0.19,1989,3977.9063651,8913.78056653652,3977.9063651,8913.78056653652
"20",0.2,1989,4375.6970016,9875.77984552922,4375.6970016,9875.77984552922
"21",0.21,1989,5091.7201473,11101.6290677865,5091.7201473,11101.6290677865
"22",0.22,1989,6185.6443977,12423.6556399073,6185.6443977,12423.6556399073
"23",0.23,1989,7756.9174119,13468.4833550365,7756.9174119,13468.4833550365
"24",0.24,1989,8970.1788532,15345.4010974292,8970.1788532,15345.4010974292
"25",0.25,1989,11237.585481,16699.9049829073,11237.585481,16699.9049829073
"26",0.26,1989,12967.97475,18773.7023227219,12967.97475,18773.7023227219
"27",0.27,1989,15255.27091,19959.7724806292,15255.27091,19959.7724806292
"28",0.28,1989,16408.863756,22319.3250175365,16408.863756,22319.3250175365
"29",0.29,1989,18795.607575,24509.1892388146,18795.607575,24509.1892388146
"30",0.3,1989,20685.113098,26445.7755769073,20685.113098,26445.7755769073
"31",0.31,1989,22316.054708,28711.1664836292,22316.054708,28711.1664836292
"32",0.32,1989,25458.600736,31249.7248065365,25458.600736,31249.7248065365
"33",0.33,1989,29297.280379,33804.9023519073,29297.280379,33804.9023519073
"34",0.34,1989,31624.355602,36589.4368079073,31624.355602,36589.4368079073
"35",0.35,1989,34408.890058,39771.7618999073,34408.890058,39771.7618999073
"36",0.36,1989,37794.088375,42899.7044267219,37794.088375,42899.7044267219
"37",0.37,1989,40972.43556,45930.2150148146,40972.43556,45930.2150148146
"38",0.38,1989,43955.865334,49388.9778315365,43955.865334,49388.9778315365
"39",0.39,1989,47933.771699,53075.8429706292,47933.771699,53075.8429706292
"40",0.4,1989,51135.986323,57227.4690918146,51135.986323,57227.4690918146
"41",0.41,1989,54656.433456,60454.8592776292,54656.433456,60454.8592776292
"42",0.42,1989,60185.723304,65116.3114757219,60185.723304,65116.3114757219
"43",0.43,1989,64601.199369,68925.7841143511,64601.199369,68925.7841143511
"44",0.44,1989,68579.105734,73377.7689338146,68579.105734,73377.7689338146
"45",0.45,1989,72298.448185,76567.3957769073,72298.448185,76567.3957769073
