"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,1989,-16150.29984,-15987.5194384876,-16150.29984,-15987.5194384876
"3",0.02,1989,-9566.864808,-9320.86213197526,-9566.864808,-9320.86213197526
"4",0.03,1989,-6861.88848,-6699.10807848763,-6861.88848,-6699.10807848763
"5",0.04,1989,-3759.121515,-3478.83599624382,-3759.121515,-3478.83599624382
"6",0.05,1989,-1690.610205,-1328.93448548763,-1690.610205,-1328.93448548763
"7",0.06,1989,-994.4765913,-734.080604043816,-994.4765913,-734.080604043816
"8",0.07,1989,-238.6743819,-112.008897175262,-238.6743819,-112.008897175262
"9",0.08,1989,0,81.3902007561844,0,81.3902007561844
"10",0.09,1989,0,81.3902007561844,0,81.3902007561844
"11",0.1,1989,0,162.780401512369,0,162.780401512369
"12",0.11,1989,0,244.170602268553,0,244.170602268553
"13",0.12,1989,99.447659127,327.392876480922,99.447659127,327.392876480922
"14",0.13,1989,397.79063651,560.571038022369,397.79063651,560.571038022369
"15",0.14,1989,795.58127301,980.083279808553,795.58127301,980.083279808553
"16",0.15,1989,1193.3719095,1461.09619048092,1193.3719095,1461.09619048092
"17",0.16,1989,1988.9531825,2070.34338325618,1988.9531825,2070.34338325618
"18",0.17,1989,2287.2961599,2428.35495615618,2287.2961599,2428.35495615618
"19",0.18,1989,2983.4297738,3323.38388825618,2983.4297738,3323.38388825618
"20",0.19,1989,3977.9063651,4059.29656585618,3977.9063651,4059.29656585618
"21",0.2,1989,4375.6970016,4601.81014552474,4375.6970016,4601.81014552474
"22",0.21,1989,5091.7201473,5274.39008061237,5091.7201473,5274.39008061237
"23",0.22,1989,6185.6443977,6326.70319395618,6185.6443977,6326.70319395618
"24",0.23,1989,7756.9174119,8037.20293085619,7756.9174119,8037.20293085619
"25",0.24,1989,8970.1788532,9134.79132816855,8970.1788532,9134.79132816855
"26",0.25,1989,11237.585481,11441.9770202686,11237.585481,11441.9770202686
"27",0.26,1989,12967.97475,13089.1440147562,12967.97475,13089.1440147562
"28",0.27,1989,15255.27091,15597.0570975124,15255.27091,15597.0570975124
"29",0.28,1989,16408.863756,16577.1403777809,16408.863756,16577.1403777809
"30",0.29,1989,18795.607575,18976.4454347562,18795.607575,18976.4454347562
"31",0.3,1989,20685.113098,20869.6151052686,20685.113098,20869.6151052686
"32",0.31,1989,22316.054708,22784.5063805371,22316.054708,22784.5063805371
"33",0.32,1989,25458.600736,25547.3192307809,25458.600736,25547.3192307809
"34",0.33,1989,29297.280379,29527.0576695371,29297.280379,29527.0576695371
"35",0.34,1989,31624.355602,31705.7458027562,31624.355602,31705.7458027562
"36",0.35,1989,34408.890058,34672.9501922686,34408.890058,34672.9501922686
"37",0.36,1989,37794.088375,37956.8687765124,37794.088375,37956.8687765124
