"","YEAR","NETWORTH","INCOME","KIDS","RACE","WGT","FAMSTRUCT","HHSEX","AGE","MARRIED_LWP","CHILDREN","HHSIZE"
"238881",2019,2153600,67195.781504,0,"White",6119.7793077,3,"female",75,0,"No",1
"238882",2019,2116200,57014.602488,0,"White",4712.3749124,3,"female",75,0,"No",1
"238883",2019,2145000,51924.01298,0,"White",5145.2244552,3,"female",75,0,"No",1
"238884",2019,2552500,41742.833964,0,"White",5297.663412,3,"female",75,0,"No",1
"238885",2019,2176200,50905.895078,0,"White",4761.8123711,3,"female",75,0,"No",1
"238886",2019,-6710,38688.48026,3,"White",3790.4766068,4,"male",50,1,"Yes",5
"238887",2019,-4710,37670.362358,3,"White",3798.8685047,4,"male",50,1,"Yes",5
"238888",2019,-8115,38688.48026,3,"White",3799.4683931,4,"male",50,1,"Yes",5
"238889",2019,-2510,38688.48026,3,"White",3788.0760048,4,"male",50,1,"Yes",5
"238890",2019,-5715,38688.48026,3,"White",3793.0665887,4,"male",50,1,"Yes",5
"238891",2019,33900,104866.14386,0,"White",4099.4785528,5,"male",53,1,"No",2
"238892",2019,36300,104866.14386,0,"White",4101.450751,5,"male",53,1,"No",2
"238893",2019,33400,104866.14386,0,"White",4098.5626583,5,"male",53,1,"No",2
"238894",2019,33500,104866.14386,0,"White",4085.9455215,5,"male",53,1,"No",2
"238895",2019,44300,104866.14386,0,"White",4097.633642,5,"male",53,1,"No",2
"238896",2019,-116660,124210.38399,0,"White",6375.9837916,5,"male",29,1,"No",2
"238897",2019,-116655,124210.38399,0,"White",6326.5697948,5,"male",29,1,"No",2
"238898",2019,-117655,124210.38399,0,"White",6341.5884536,5,"male",29,1,"No",2
"238899",2019,-117665,124210.38399,0,"White",6386.3758634,5,"male",29,1,"No",2
"238900",2019,-116665,124210.38399,0,"White",6354.9195043,5,"male",29,1,"No",2
"238901",2019,1590,29525.419145,0,"White",4210.2307656,5,"male",47,1,"No",2
"238902",2019,1890,29525.419145,0,"White",4177.2038589,5,"male",47,1,"No",2
"238903",2019,1690,29525.419145,0,"White",4246.4318979,5,"male",47,1,"No",2
"238904",2019,1990,29525.419145,0,"White",4226.5568086,5,"male",47,1,"No",2
"238905",2019,2390,30543.537047,0,"White",4185.6728788,5,"male",47,1,"No",2
"238906",2019,-12480,27489.183342,0,"White",5046.9751648,2,"male",28,0,"No",1
"238907",2019,-12310,27489.183342,0,"White",5058.6369297,2,"male",28,0,"No",1
"238908",2019,-12440,27489.183342,0,"White",5050.5076398,2,"male",28,0,"No",1
"238909",2019,-12220,27489.183342,0,"White",5049.8964595,2,"male",28,0,"No",1
"238910",2019,-12340,27489.183342,0,"White",5058.5391101,2,"male",28,0,"No",1
"238911",2019,280,12217.414819,0,"White",8610.8775961,2,"female",53,0,"No",1
"238912",2019,280,12217.414819,0,"White",8629.9415854,2,"female",53,0,"No",1
"238913",2019,290,12217.414819,0,"White",8631.3043599,2,"female",53,0,"No",1
"238914",2019,290,12217.414819,0,"White",8605.4241156,2,"female",53,0,"No",1
"238915",2019,280,12217.414819,0,"White",8616.7612933,2,"female",53,0,"No",1
"238916",2019,510243800,17430178.475,3,"White",35.406794387,4,"male",52,1,"Yes",5
"238917",2019,462373480,14986695.511,3,"White",35.171352972,4,"male",52,1,"Yes",5
"238918",2019,784241870,18397390.481,3,"White",35.078666373,4,"male",52,1,"Yes",5
"238919",2019,526520190,20637249.865,3,"White",34.894297073,4,"male",52,1,"Yes",5
"238920",2019,540771980,20637249.865,3,"White",35.063936823,4,"male",52,1,"Yes",5
"238921",2019,1211300,76766.089778,0,"White",3959.9022318,5,"male",71,1,"No",2
"238922",2019,1211300,76766.089778,0,"White",4184.7555904,5,"male",71,1,"No",2
"238923",2019,1210300,76766.089778,0,"White",4144.5091124,5,"male",71,1,"No",2
"238924",2019,1211300,77784.20768,0,"White",4103.4060234,5,"male",71,1,"No",2
"238925",2019,1212300,77784.20768,0,"White",4199.7785158,5,"male",71,1,"No",2
"238926",2019,523500,111992.96917,0,"White",4575.8881816,3,"male",55,0,"No",1
"238927",2019,454200,128282.8556,0,"White",6573.3896173,3,"male",55,0,"No",1
"238928",2019,501700,129300.9735,0,"White",6638.1299419,3,"male",55,0,"No",1
"238929",2019,692100,117083.55868,0,"White",4743.5432572,3,"male",55,0,"No",1
"238930",2019,500100,117083.55868,0,"White",6608.8902054,3,"male",55,0,"No",1
"238931",2019,-7010,40724.716063,0,"White",4322.6065656,3,"male",62,0,"No",1
"238932",2019,-7000,39706.598161,0,"White",4299.4070208,3,"male",62,0,"No",1
"238933",2019,-7000,40724.716063,0,"White",4324.9048002,3,"male",62,0,"No",1
"238934",2019,-7010,40724.716063,0,"White",4305.9557231,3,"male",62,0,"No",1
"238935",2019,-7000,40724.716063,0,"White",4301.939313,3,"male",62,0,"No",1
"238936",2019,303300,188351.81179,0,"White",7264.7708734,5,"male",67,1,"No",2
"238937",2019,304300,187333.69389,0,"White",7295.6892063,5,"male",67,1,"No",2
"238938",2019,305300,187333.69389,0,"White",7376.1752197,5,"male",67,1,"No",2
"238939",2019,303300,188351.81179,0,"White",7358.8706154,5,"male",67,1,"No",2
"238940",2019,302300,186315.57599,0,"White",7359.7782761,5,"male",67,1,"No",2
"238941",2019,-13840,59050.838291,0,"White",8068.1746133,5,"male",24,1,"No",2
"238942",2019,-17350,60068.956193,0,"White",7991.8076521,5,"male",24,1,"No",2
"238943",2019,-16440,60068.956193,0,"White",8116.0455915,5,"male",24,1,"No",2
"238944",2019,-16940,60068.956193,0,"White",8121.4410088,5,"male",24,1,"No",2
"238945",2019,-17290,60068.956193,0,"White",8023.3444552,5,"male",24,1,"No",2
"238946",2019,11742000,2321308.8156,2,"White",300.76564449,4,"male",52,1,"Yes",4
"238947",2019,11742000,2321308.8156,2,"White",301.39245791,4,"male",52,1,"Yes",4
"238948",2019,11743000,2321308.8156,2,"White",286.67085734,4,"male",52,1,"Yes",4
"238949",2019,11742000,2321308.8156,2,"White",299.21763008,4,"male",52,1,"Yes",4
"238950",2019,11742000,2321308.8156,2,"White",298.36700608,4,"male",52,1,"Yes",4
"238951",2019,845000,286091.13034,1,"White",744.78417968,4,"male",57,1,"Yes",3
"238952",2019,848300,285073.01244,1,"White",787.07979436,4,"male",57,1,"Yes",3
"238953",2019,841600,286091.13034,1,"White",779.9733973,4,"male",57,1,"Yes",3
"238954",2019,848600,286091.13034,1,"White",771.981713,4,"male",57,1,"Yes",3
"238955",2019,840000,286091.13034,1,"White",790.01095839,4,"male",57,1,"Yes",3
"238956",2019,2065500,78395.078421,0,"White",4153.7376545,3,"female",66,0,"No",1
"238957",2019,1764000,77376.960519,0,"White",3196.1770089,3,"female",66,0,"No",1
"238958",2019,2254900,79413.196322,0,"White",3493.9118656,3,"female",66,0,"No",1
"238959",2019,1584900,77376.960519,0,"White",3596.9728737,3,"female",66,0,"No",1
"238960",2019,1591900,80431.314224,0,"White",3231.8556701,3,"female",66,0,"No",1
